1000,2250600
1001,2250600
1002,2250600
1003,2250600
1004,2250600
1005,2250600
1006,2250600
1007,2250600
1008,2250600
1009,2250600
1010,2250600
1011,2250600
1012,2250600
1013,2250600
1014,2250600
1015,2250600
1016,2250600
1017,2250600
1018,2250600
1019,2250600
1020,2250600
1021,2250600
1022,2250600
1023,2250600
1024,2250600
1025,2250600
1026,2250600
1027,2250600
1028,2250600
1029,2250600
1030,2250600
1031,2250600
1032,2250600
1033,2250600
1034,2250600
1035,2250600
1036,2250600
1037,2250600
1038,2250600
1039,2250600
1040,2250600
1041,2250600
1042,2250600
1043,2250600
1044,2250600
1045,2250600
1046,2250600
1047,2250600
1048,2250600
1049,2250600
1050,2250600
1051,2250600
1052,2250600
1053,2250600
1054,2250600
1055,2250600
1056,2250600
1057,2250600
1058,2250600
1059,2250600
1060,2250600
1061,2250600
1062,2250600
1063,2250600
1064,2250600
1065,2250600
1066,2250600
1067,2250600
1068,2250600
1069,2250600
1070,2250600
1071,2250600
1072,2250600
1073,2250600
1074,2250600
1075,2250600
1076,2250600
1077,2250600
1078,2250600
1079,2250600
1080,2250600
1081,2250600
1082,2250600
1083,2250600
1084,2250600
1085,2250600
1086,2250600
1087,2250600
1088,2250600
1089,2250600
1090,2250600
1091,2250600
1092,2250600
1093,2250600
1094,2250600
1095,2250600
1096,2250600
1097,2250600
1098,2250600
1099,2250600
1100,2250600
1101,2250600
1102,2250600
1103,2250600
1104,2250600
1105,2250600
1106,2250600
1107,2250600
1108,2250600
1109,2250600
1110,2250600
1111,2250600
1112,2250600
1113,2250600
1114,2250600
1115,2250600
1116,2250600
1117,2250600
1118,2250600
1119,2250600
1120,2250600
1121,2250600
1122,2250600
1123,2250600
1124,2250600
1125,2250600
1126,2250600
1127,2250600
1128,2250600
1129,2250600
1130,2250600
1131,2250600
1132,2250600
1133,2250600
1134,2250600
1135,2250600
1136,2250600
1137,2250600
1138,2250600
1139,2250600
1140,2250600
1141,2250600
1142,2250600
1143,2250600
1144,2250600
1145,2250600
1146,2250600
1147,2250600
1148,2250600
1149,2250600
1150,2250600
1151,2250600
1152,2250600
1153,2250600
1154,2250600
1155,2250600
1156,2250600
1157,2250600
1158,2250600
1159,2250600
1160,2250600
1161,2250600
1162,2250600
1163,2250600
1164,2250600
1165,2250600
1166,2250600
1167,2250600
1168,2250600
1169,2250600
1170,2250600
1171,2250600
1172,2250600
1173,2250600
1174,2250600
1175,2250600
1176,2250600
1177,2250600
1178,2250600
1179,2250600
1180,2250600
1181,2250600
1182,2250600
1183,2250600
1184,2250600
1185,2250600
1186,2250600
1187,2250600
1188,2250600
1189,2250600
1190,2250600
1191,2250600
1192,2250600
1193,2250600
1194,2250600
1195,2250600
1196,2250600
1197,2250600
1198,2250600
1199,2250600
1200,2250600
1201,2250600
1202,2250600
1203,2250600
1204,2250600
1205,2250600
1206,2250600
1207,2250600
1208,2250600
1209,2250600
1210,2250600
1211,2250600
1212,2250600
1213,2250600
1214,2250600
1215,2250600
1216,2250600
1217,2250600
1218,2250600
1219,2250600
1220,2250600
1221,2250600
1222,2250600
1223,2250600
1224,2250600
1225,2250600
1226,2250600
1227,2250600
1228,2250600
1229,2250600
1230,2250600
1231,2250600
1232,2250600
1233,2250600
1234,2250600
1235,2250600
1236,2250600
1237,2250600
1238,2250600
1239,2250600
1240,2250600
1241,2250600
1242,2250600
1243,2250600
1244,2250600
1245,2250600
1246,2250600
1247,2250600
1248,2250600
1249,2250600
1250,2250600
1251,2250600
1252,2250600
1253,2250600
1254,2250600
1255,2250600
1256,2250600
1257,2250600
1258,2250600
1259,2250600
1260,2250600
1261,2250600
1262,2250600
1263,2250600
1264,2250600
1265,2250600
1266,2250600
1267,2250600
1268,2250600
1269,2250600
1270,2250600
1271,2250600
1272,2250600
1273,2250600
1274,2250600
1275,2250600
1276,2250600
1277,2250600
1278,2250600
1279,2250600
1280,2250600
1281,2250600
1282,2250600
1283,2250600
1284,2250600
1285,2250600
1286,2250600
1287,2250600
1288,2250600
1289,2250600
1290,2250600
1291,2250600
1292,2250600
1293,2250600
1294,2250600
1295,2250600
1296,2250600
1297,2250600
1298,2250600
1299,2250600
1300,2250600
1301,2250600
1302,2250600
1303,2250600
1304,2250600
1305,2250600
1306,2250600
1307,2250600
1308,2250600
1309,2250600
1310,2250600
1311,2250600
1312,2250600
1313,2250600
1314,2250600
1315,2250600
1316,2250600
1317,2250600
1318,2250600
1319,2250600
1320,2250600
1321,2250600
1322,2250600
1323,2250600
1324,2250600
1325,2250600
1326,2250600
1327,2250600
1328,2250600
1329,2250600
1330,2250600
1331,2250600
1332,2250600
1333,2250600
1334,2250600
1335,2250600
1336,2250600
1337,2250600
1338,2250600
1339,2250600
1340,2250600
1341,2250600
1342,2250600
1343,2250600
1344,2250600
1345,2250600
1346,2250600
1347,2250600
1348,2250600
1349,2250600
1350,2250600
1351,2250600
1352,2250600
1353,2250600
1354,2250600
1355,2250600
1356,2250600
1357,2250600
1358,2250600
1359,2250600
1360,2250600
1361,2250600
1362,2250600
1363,2250600
1364,2250600
1365,2250600
1366,2250600
1367,2250600
1368,2250600
1369,2250600
1370,2250600
1371,2250600
1372,2250600
1373,2250600
1374,2250600
1375,2250600
1376,2250600
1377,2250600
1378,2250600
1379,2250600
1380,2250600
1381,2250600
1382,2250600
1383,2250600
1384,2250600
1385,2250600
1386,2250600
1387,2250600
1388,2250600
1389,2250600
1390,2250600
1391,2250600
1392,2250600
1393,2250600
1394,2250600
1395,2250600
1396,2250600
1397,2250600
1398,2250600
1399,2250600
1400,2250600
1401,2250600
1402,2250600
1403,2250600
1404,2250600
1405,2250600
1406,2250600
1407,2250600
1408,2250600
1409,2250600
1410,2250600
1411,2250600
1412,2250600
1413,2250600
1414,2250600
1415,2250600
1416,2250600
1417,2250600
1418,2250600
1419,2250600
1420,2250600
1421,2250600
1422,2250600
1423,2250600
1424,2250600
1425,2250600
1426,2250600
1427,2250600
1428,2250600
1429,2250600
1430,2250600
1431,2250600
1432,2250600
1433,2250600
1434,2250600
1435,2250600
1436,2250600
1437,2250600
1438,2250600
1439,2250600
1440,2250600
1441,2250600
1442,2250600
1443,2250600
1444,2250600
1445,2250600
1446,2250600
1447,2250600
1448,2250600
1449,2250600
1450,2250600
1451,2250600
1452,2250600
1453,2250600
1454,2250600
1455,2250600
1456,2250600
1457,2250600
1458,2250600
1459,2250600
1460,2250600
1461,2250600
1462,2250600
1463,2250600
1464,2250600
1465,2250600
1466,2250600
1467,2250600
1468,2250600
1469,2250600
1470,2250600
1471,2250600
1472,2250600
1473,2250600
1474,2250600
1475,2250600
1476,2250600
1477,2250600
1478,2250600
1479,2250600
1480,2250600
1481,2250600
1482,2250600
1483,2250600
1484,2250600
1485,2250600
1486,2250600
1487,2250600
1488,2250600
1489,2250600
1490,2250600
1491,2250600
1492,2250600
1493,2250600
1494,2250600
1495,2250600
1496,2250600
